Age	fit	ci_lo	ci_hi	model
10	0.005205963678842019	-0.004052497226538931	0.014464424584222969	exome_vafSum_likelyDisease
11	0.005845579647110705	-0.003210227352711136	0.014901386646932547	exome_vafSum_likelyDisease
12	0.006485195615379392	-0.002368427630206154	0.015338818860964939	exome_vafSum_likelyDisease
13	0.0071248115836480795	-0.001527131019416211	0.015776754186712372	exome_vafSum_likelyDisease
14	0.007764427551916767	-6.863735411075343e-4	0.016215228644941067	exome_vafSum_likelyDisease
15	0.008404043520185454	1.5380537233794685e-4	0.016654281668032962	exome_vafSum_likelyDisease
16	0.00904365948845414	9.933624781736216e-4	0.017093956498734658	exome_vafSum_likelyDisease
17	0.009683275456722828	0.0018322502697513607	0.017534300643694295	exome_vafSum_likelyDisease
18	0.010322891424991513	0.0026704164597018557	0.01797536639028117	exome_vafSum_likelyDisease
19	0.0109625073932602	0.003507803389914043	0.018417211396606358	exome_vafSum_likelyDisease
20	0.011602123361528887	0.004344347356730919	0.018859899366326857	exome_vafSum_likelyDisease
21	0.012241739329797574	0.005179977837837313	0.019303500821757837	exome_vafSum_likelyDisease
22	0.012881355298066261	0.006014616605059214	0.019748093991073308	exome_vafSum_likelyDisease
23	0.013520971266334949	0.006848176704688146	0.02019376582798175	exome_vafSum_likelyDisease
24	0.014160587234603636	0.0076805612839579256	0.020640613185249346	exome_vafSum_likelyDisease
25	0.014800203202872321	0.008511662238917628	0.021088744166827014	exome_vafSum_likelyDisease
26	0.015439819171141008	0.00934135865517255	0.021538279687109467	exome_vafSum_likelyDisease
27	0.016079435139409695	0.010169515008856994	0.021989355269962395	exome_vafSum_likelyDisease
28	0.016719051107678382	0.010995979090885871	0.022442123124470893	exome_vafSum_likelyDisease
29	0.01735866707594707	0.01182057961325107	0.02289675453864307	exome_vafSum_likelyDisease
30	0.017998283044215756	0.012643123452313436	0.023353442636118077	exome_vafSum_likelyDisease
31	0.018637899012484443	0.013463392481402284	0.023812405543566603	exome_vafSum_likelyDisease
32	0.01927751498075313	0.014281139944701881	0.02427389001680438	exome_vafSum_likelyDisease
33	0.019917130949021818	0.015096086328119	0.024738175569924636	exome_vafSum_likelyDisease
34	0.020556746917290505	0.0159079146931947	0.025205579141386308	exome_vafSum_likelyDisease
35	0.021196362885559192	0.0167162654609441	0.025676460310174284	exome_vafSum_likelyDisease
36	0.02183597885382788	0.017520730669135634	0.026151227038520124	exome_vafSum_likelyDisease
37	0.022475594822096566	0.018320847786219133	0.026630341857974	exome_vafSum_likelyDisease
38	0.02311521079036525	0.01911609325721239	0.027114328323518108	exome_vafSum_likelyDisease
39	0.023754826758633937	0.01990587609241274	0.027603777424855133	exome_vafSum_likelyDisease
40	0.024394442726902624	0.020689532000146275	0.028099353453658972	exome_vafSum_likelyDisease
41	0.02503405869517131	0.021466318818069895	0.028601798572272727	exome_vafSum_likelyDisease
42	0.025673674663439998	0.022235414312145953	0.029111935014734042	exome_vafSum_likelyDisease
43	0.026313290631708685	0.02299591776585574	0.02963066349756163	exome_vafSum_likelyDisease
44	0.026952906599977372	0.023746857115937894	0.03015895608401685	exome_vafSum_likelyDisease
45	0.02759252256824606	0.024487203593918642	0.030697841542573476	exome_vafSum_likelyDisease
46	0.028232138536514746	0.025215895733668517	0.031248381339360976	exome_vafSum_likelyDisease
47	0.028871754504783433	0.025931873991170484	0.031811635018396386	exome_vafSum_likelyDisease
48	0.02951137047305212	0.026634125906089434	0.032388615040014807	exome_vafSum_likelyDisease
49	0.030150986441320807	0.027321739679882856	0.03298023320275876	exome_vafSum_likelyDisease
50	0.030790602409589495	0.027993961522508413	0.03358724329667058	exome_vafSum_likelyDisease
51	0.03143021837785818	0.02865024979158317	0.03421018696413319	exome_vafSum_likelyDisease
52	0.03206983434612687	0.02929031775052004	0.0348493509417337	exome_vafSum_likelyDisease
53	0.03270945031439555	0.029914157530977804	0.035504743097813304	exome_vafSum_likelyDisease
54	0.03334906628266424	0.030522040803472976	0.03617609176185551	exome_vafSum_likelyDisease
55	0.033988682250932926	0.03111449602694507	0.03686286847492078	exome_vafSum_likelyDisease
56	0.03462829821920162	0.03169226655800956	0.037564329880393675	exome_vafSum_likelyDisease
57	0.0352679141874703	0.03225625692674515	0.03827957144819545	exome_vafSum_likelyDisease
58	0.03590753015573899	0.032807475467216456	0.03900758484426153	exome_vafSum_likelyDisease
59	0.036547146124007675	0.03334698038411572	0.03974731186389963	exome_vafSum_likelyDisease
60	0.037186762092276365	0.03387583404580335	0.04049769013874938	exome_vafSum_likelyDisease
61	0.03782637806054505	0.03439506776121905	0.04125768835987105	exome_vafSum_likelyDisease
62	0.03846599402881373	0.03490565720671453	0.04202633085091294	exome_vafSum_likelyDisease
63	0.03910560999708242	0.03540850731004141	0.04280271268412344	exome_vafSum_likelyDisease
